person,Brand,X1 Refreshing taste,X2 Fewer calories,X3 Quenches thirst,X4 Sweet taste,X5 Energy,X6 Environmentally friendly packaging,X7 Minerals and vitamins,X8 Unique flavor,X9 Healthy,X10 For when very thirsty
Person 1,Brand 1,4,3,5,3,3,7,5,3,3,4
Person 1,Brand 2,5,2,4,3,2,5,4,5,2,4
Person 1,Brand 3,4,5,6,4,5,4,6,4,5,5
Person 1,Brand 4,4,5,5,5,5,4,6,4,5,6
Person 1,Brand 5,7,6,6,6,7,5,5,6,6,5
Person 1,Brand 6,7,3,5,6,3,5,5,6,3,5
Person 2,Brand 1,7,4,4,6,4,5,5,7,4,5
Person 2,Brand 2,5,2,5,6,2,5,5,5,3,5
Person 2,Brand 3,4,5,7,3,4,4,7,3,5,7
Person 2,Brand 4,5,6,6,4,5,4,6,4,6,7
Person 2,Brand 5,7,5,5,7,6,5,4,6,5,5
Person 2,Brand 6,7,4,5,7,5,4,5,6,5,4
Person 3,Brand 1,5,2,2,6,1,5,3,6,1,2
Person 3,Brand 2,4,2,4,3,2,4,4,4,2,3
Person 3,Brand 3,2,4,7,2,5,5,6,3,4,7
Person 3,Brand 4,2,3,3,1,2,5,5,2,3,5
Person 3,Brand 5,5,7,6,5,7,6,6,5,6,6
Person 3,Brand 6,6,4,5,7,4,5,5,7,4,5
Person 4,Brand 1,4,3,3,5,2,6,3,5,3,3
Person 4,Brand 2,6,2,2,7,1,6,2,6,1,2
Person 4,Brand 3,3,5,6,3,5,5,5,3,5,6
Person 4,Brand 4,5,4,5,4,4,6,5,5,4,5
Person 4,Brand 5,7,5,5,7,5,4,5,7,5,5
Person 4,Brand 6,7,5,5,7,6,4,5,6,5,5
Person 5,Brand 1,6,2,1,5,2,4,1,6,1,2
Person 5,Brand 2,7,3,4,6,2,4,4,7,2,4
Person 5,Brand 3,2,4,7,4,4,5,7,4,4,7
Person 5,Brand 4,4,4,7,4,4,6,7,4,3,6
Person 5,Brand 5,6,5,4,6,5,5,5,5,5,5
Person 5,Brand 6,6,5,5,7,5,5,5,6,5,5
Person 6,Brand 1,6,4,2,5,3,6,1,6,4,2
Person 6,Brand 2,6,3,4,5,3,4,3,6,3,4
Person 6,Brand 3,5,6,6,4,5,6,6,5,6,6
Person 6,Brand 4,1,4,5,1,4,5,6,1,4,5
Person 6,Brand 5,6,5,5,5,5,5,5,6,5,5
Person 6,Brand 6,7,6,4,6,6,5,4,6,6,4
Person 7,Brand 1,5,2,4,5,1,5,4,5,2,5
Person 7,Brand 2,4,2,5,6,3,3,5,6,3,4
Person 7,Brand 3,3,5,6,3,5,6,7,3,5,7
Person 7,Brand 4,3,5,7,3,4,5,7,3,5,6
Person 7,Brand 5,7,5,5,7,6,5,5,7,6,6
Person 7,Brand 6,7,3,4,7,2,5,5,7,3,5
Person 8,Brand 1,6,2,4,7,2,6,4,6,2,4
Person 8,Brand 2,5,2,3,5,1,6,3,5,2,3
Person 8,Brand 3,4,5,5,4,5,5,6,5,6,6
